rank	character	count	cumulative	pinyin	eng
555	讲	73220	78.0115366907	jiang3	to talk/speech/to speak/to tell/to explain
556	型	73216	78.0493736311	xing2	model
557	料	72778	78.0869842196	liao4	material/stuff/grain/feed/to expect/to anticipate/to guess
558	终	72533	78.1244681958	zhong1	end/finish
559	答	72421	78.161894292	da1/da2	to answer/agree, reply/answer/return/respond/echo
560	紧	72300	78.1992578573	jin3	tight/nervous/strict
561	黄	72199	78.2365692272	huang2	(surname)/sulfur/yellow
562	绝	72074	78.273815999	jue2	cut short/extinct/to disappear/to vanish/absolutely/by no means
563	奇	71919	78.3109826691	ji1/qi2	odd (Num), strange/odd/weird/wonderful
564	察	71894	78.3481364196	cha2	examine/inquire/observe/inspect/look into/to examine
565	母	71462	78.3850669189	mu3	female/mother
566	京	71245	78.4218852758	jing1	capital/Beijing (abbrev.)
567	段	71172	78.4586659074	duan4	(surname)/paragraph/section/segment
568	依	70632	78.495167475	yi1	according to/depend on/near to
569	批	70580	78.5316421698	pi1	to ascertain/(measure word for batches, lots)/to act on/to criticize/to pass on
570	群	70459	78.5680543336	qun2	crowd/flock/group
571	项	70453	78.6044633967	xiang4	(surname)/back of neck/item/thing
572	故	70067	78.6406729808	gu4	happening/instance/reason/cause/deceased/old
573	按	69984	78.6768396716	an4	to press (with the hand)/to push/to control/to restrain/to check/pressing down (brush movement in painting)/according to/in the light of
574	河	69687	78.7128528773	he2	river
575	米	69668	78.7488562641	mi3	(measure word) meter/rice
576	围	69641	78.7848456976	wei2	to circle/to surround
577	江	69602	78.8208149766	jiang1	river
578	织	69482	78.8567222413	zhi1	weave
579	害	69462	78.8926191703	hai4	to do harm to/to cause trouble to/harm/evil/calamity
580	斗	69456	78.9285129986	dou3/dou4	Chinese peck, to fight/to battle/to struggle/to incite, fight/incite
581	双	69440	78.9643985584	shuang1	two/double/pair/both
582	境	69360	79.0002427753	jing4	border/place/condition/boundary/circumstances/territory
583	客	69108	79.0359567624	ke4	customer/visitor/guest
584	纪	69045	79.071638192	ji4	discipline/age/era/period/order/record
585	采	68946	79.1072684599	cai3/cai4	to pick/to pluck/to collect/to select/to choose/to gather, affairs/gather, allotment to a feudal noble
586	举	68924	79.1428873585	ju3	to lift/to hold up/to cite/to enumerate/to act/to raise/to choose/to elect
587	杀	68776	79.178429773	sha1	to kill/to murder/to slaughter
588	攻	68747	79.2139572006	gong1	to attack/to accuse/to study
589	父	68576	79.249396258	fu4	father
590	苏	68487	79.2847893215	su1	loquacious/nag, revive, (plant)/place name/revive
591	密	68475	79.3201761836	mi4	secret/confidential/close/thick/dense
592	低	68424	79.3555366897	di1	to lower (one's head)/to let droop/to hang down/low/to incline/beneath/low
593	朝	68380	79.3908744572	chao2/zhao1	to face/towards/facing/direct/a dynasty/the imperial court/(abbr.) Korea, esp. N. Korea, morning
594	友	68196	79.4261171362	you3	friend
595	诉	68147	79.4613344928	su4	complain/sue/tell
596	止	68082	79.4965182583	zhi3	to stop/toe
597	细	67915	79.5316157208	xi4	fine/minutely/thin/slender
598	愿	67915	79.5667131832	yuan4	sincere/willing, hope/wish/desire/ready/willing
599	千	67843	79.6017734371	qian1	thousand, a swing
600	值	67732	79.6367763278	zhi2	value/(to be) worth/to happen
601	仍	67490	79.6716541566	reng2	still/yet/to remain
602	男	67405	79.7064880586	nan2	male
603	钱	67304	79.7412697653	qian2	(surname)/coin/money
604	破	67268	79.7760328677	po4	to break/to split/broken/damaged/worn out
605	网	67118	79.8107184524	wang3	net/network, a net
606	热	67051	79.8453694124	re4	heat/to heat up/fervent/hot (of weather)/warm up
607	助	66867	79.879925284	zhu4	to help/to assist
608	倒	66634	79.9143607447	dao3/dao4	to fall/to collapse/to topple/to change/to fail/bankrupt, upset/turn over/to tip/to pour/to go home/to the contrary/inverted
609	育	66551	79.9487533122	yu4	nourish/to rear
610	属	66374	79.9830544087	shu3/zhu3	belong to/category/be subordinate to/genus (taxonomy)/be born in the year of (one of the 12 animals)/family members/dependants, join together/fix one's attention on/concentrate on
611	坐	66293	80.0173136457	zuo4	to sit/to take a seat/to take (a bus, airplane etc.)
612	帝	66035	80.051439552	di4	emperor
613	限	66018	80.085556673	xian4	limit/bound
614	船	65883	80.1196040281	chuan2	a boat/vessel/ship
615	脸	65727	80.1535707646	lian3	face
616	职	65272	80.1873023639	zhi2	office/duty
617	速	65094	80.2209419755	su4	fast/rapid/quick
618	刻	65015	80.254540761	ke4	quarter (hour)/(a measure word)/to carve/to engrave/to cut/oppressive
619	乐	64965	80.2881137073	le4/yue4	(surname)/happy/laugh/cheerful, (surname)/music
620	否	64772	80.321586914	fou3/pi3	to negate/to deny/not, clogged/evil
621	刚	64622	80.354982603	gang1	hard/firm/strong/just/barely/exactly
622	威	64559	80.3883457345	wei1	power/might/prestige
623	毛	64522	80.421689745	mao2	hair/pore/fur
624	状	64495	80.4550198022	zhuang4	accusation/suit/state/condition/strong/great
625	率	64453	80.4883281545	lu:4/shuai4/lv4	rate/frequency, to lead/command
626	甚	64438	80.521628755	shen4	very/extremely/more (than)
627	独	64201	80.5548068774	du2	alone/independent/single/sole/only
628	球	63913	80.5878361658	qiu2	ball/sphere
629	般	63739	80.6207755335	ban1	sort/kind/class/way/manner
630	普	63570	80.6536275645	pu3	general/popular/everywhere/universal
631	怕	63520	80.6864537562	pa4	to be afraid/to fear
632	弹	63417	80.7192267191	dan4/tan2	crossball/bullet/shot/shell/ball, impeach/to pluck a string/to play (a stringed musical instrument with fingers)
633	校	63200	80.7518875396	jiao4/xiao4	proofread/to check/to compare, school
634	苦	63194	80.7845452594	ku3	bitter/intensely/miserable/painful
635	创	63156	80.8171833414	chuang1/chuang4	a wound/cut/injury/trauma, begin/initiate/inaugurate/start/create
636	假	62691	80.8495811183	jia3/jia4	fake/false/artificial/to borrow/if/suppose, vacation
637	久	62588	80.8819256663	jiu3	(long) time/(long) duration of time
638	错	62401	80.9141735755	cuo4	mistake/error/blunder/fault/cross/uneven/wrong
639	承	62285	80.9463615376	cheng2	to bear/to carry/to hold/to continue/to undertake/to take charge/owing to/due to/to receive
640	印	62179	80.9784947205	yin4	stamp/seal/mark/print/India (abbrev.)
641	晚	62142	81.0106087823	wan3	evening/night/late
642	兰	61951	81.0426241382	lan2	orchid
643	试	61912	81.0746193394	shi4	to test/to try/experiment/examination/test
644	股	61861	81.1065881846	gu3	share/portion/section/part/thigh/(a measure word, e.g. use with electric current)/whiff
645	拿	61798	81.1385244724	na2	to hold/to seize/to catch/to apprehend/to take
646	脑	61647	81.1703827256	nao3	brain
647	预	61534	81.2021825821	yu4	to advance/in advance/beforehand/to prepare
648	谁	61528	81.2339793378	shei2/shui2	who, who
649	益	60896	81.2654494854	yi4	benefit/increase
650	阳	60867	81.2969046462	yang2	positive (electric.)/sun
651	若	60736	81.3282921081	ruo4	to seem/like/as/if
652	哪	60708	81.3596651001	na3/na/nei3	how/which, (final part. preceded by N), which (followed by M or Num)
653	微	60484	81.3909223322	wei1	micro/tiny/miniature
654	尼	60474	81.4221743964	ni2	Buddhist nun/(often used in phonetic spellings)
655	继	60428	81.4534026885	ji4	to continue/to follow after/then/afterwards/to go on with/to succeed/to inherit
656	送	60182	81.4845038515	song4	to deliver/to carry/to give (as a present)/to present (with)/to see off/to send
657	急	60141	81.5155838263	ji2	hurried/worried
658	血	59944	81.5465619944	xie3/xue4	blood, blood
659	惊	59724	81.5774264698	jing1	to start/to be frightened/to be scared/alarm
660	伤	59632	81.6082434009	shang1	injure/injury/wound
661	素	59100	81.6387854024	su4	plain/element
662	药	59090	81.669322236	yao4	medicine/drug/cure
663	适	58927	81.6997748336	shi4	to fit/to suit
664	波	58859	81.7301922899	bo1	wave/ripple/storm/surge
665	夜	58839	81.7605994104	ye4	night
666	省	58642	81.7909047243	sheng3/xing3	frugal/save/to omit/to leave out/to save (money)/province, comprehend/introspect/visit
667	初	58587	81.8211816149	chu1	at first/(at the) beginning/first/junior/basic
668	喜	58449	81.8513871893	xi3	to be fond of/to like/to enjoy/to be happy/to feel pleased/happiness/delight/glad
669	卫	58408	81.8815715754	wei4	to guard/to protect/to defend/(surname)
670	源	58145	81.9116200471	yuan2	root/source/origin
671	食	58110	81.9416504313	shi2/si4	animal feed/eat/food, to feed
672	险	58047	81.971648258	xian3	danger (ous)/rugged
673	待	57757	82.001496217	dai1/dai4	stay/delay, wait/treat/deal with/need/about/intending to do something
674	述	57744	82.0313374578	shu4	to state/to tell/to narrate/to relate
675	陆	57430	82.0610164281	liu4/lu4	six (fraud-proof), (surname)/shore/land/continent
676	习	57329	82.0906432031	xi2	to practice/to study/habit
677	置	57255	82.120231736	zhi4	to install/to place/to put
678	居	56307	82.1493303565	ju1	reside
679	劳	56119	82.1783318215	lao2	toil
680	财	56037	82.2072909101	cai2	money/wealth/riches/property/valuables
681	环	55971	82.2362158909	huan2	bracelet/ring (not for finger)/to surround/to loop/loop
682	排	55938	82.2651238177	pai2/pai3	a platoon/line up, row of logs or boards
683	福	55871	82.29399712	fu2	good fortune
684	纳	55597	82.3227288231	na4	to accept/to pay (tax etc.)
685	欢	55294	82.3513039404	huan1	joyous/happy/pleased
686	雷	55226	82.3798439162	lei2	(surname)/thunder
687	警	55189	82.408364771	jing3	to alert/to warn
688	获	55064	82.4368210277	huo4	to catch/to obtain/to capture, reap/harvest
689	模	54891	82.4651878805	mo2	imitate/model/norm/pattern
690	充	54812	82.4935139073	chong1	fill/satisfy/fulfill/to act in place of/substitute/sufficient/full
691	负	54616	82.5217386442	fu4	lose/negative (math. etc.)/to bear/to carry (on one's back)
692	云	54510	82.5499086019	yun2	(classical) to say, cloud/(abbr.) for Yunnan/surname
693	停	54453	82.5780491028	ting2	to stop/to halt
694	木	54433	82.6061792681	mu4	tree/wood
695	游	54262	82.634221063	you2	to walk/to tour/to roam/to swim/to travel, to roam/travel
696	龙	54169	82.662214797	long2	dragon/imperial/Long (a surname)
697	树	54037	82.6901403153	shu4	tree
698	疑	53982	82.7180374105	yi2	to doubt/to misbelieve/to suspect
699	层	53705	82.7457913561	ceng2	a measure word for layers/laminated/repeated/floor/story (of a building)/layer/(math.) sheaf
700	冷	53460	82.7734186894	leng3	cold
701	洲	53429	82.8010300024	zhou1	continent/island
702	冲	53378	82.8286149593	chong1/chong4	to rinse/to collide/to water/to rush/to dash (against)/to wash out/to charge/highway/public road, dash against, strong/powerful/forceful/dynamic/to punch, of great force/towards
703	射	53184	82.8560996599	she4	radio- (chem.)/shoot
704	略	53068	82.8835244134	lue4	plan/strategy/outline/summary/slightly/rather/to rob/to plunder/to summarize
705	范	53033	82.9109310795	fan4	pattern/model/example/(surname)
706	竟	53033	82.9383377455	jing4	unexpectedly/actually/to go so far as to/indeed
707	句	52891	82.9656710281	ju4	(a measure word, for sentences or lines of verse)/sentence
708	室	52846	82.9929810553	shi4	room
709	异	52735	83.0202337194	yi4	(interj.)/raise/to stop, different/unusual/strange
710	激	52723	83.047480182	ji1	to arouse/to incite/to excite/to stimulate/sharp/fierce/violent
711	汉	52656	83.0746920201	han4	Chinese/name of a dynasty
712	村	52603	83.1018764685	cun1	village
713	哈	52475	83.1289947685	ha1/ha3	laughter/yawn, a Pekinese/a pug
714	策	52394	83.1560712088	ce4	method/plan/policy/scheme
715	演	52394	83.1831476492	yan3	to develop/to evolve/to practice/to perform/to play/to act
716	简	52280	83.210165176	jian3	simple
717	卡	52244	83.2371640986	ka3/qia3	to check/to stop/to block/card, customs station/to be choked/to fasten/to clip/to wedge/checkpost
718	罪	52068	83.264072067	zui4	guilt/crime/fault/blame/sin
719	判	52045	83.2909681493	pan4	to judge/to sentence/to discriminate/to discern
720	担	51792	83.317733485	dan1/dan4	to undertake/to carry/to shoulder/to take responsibility, a picul (133.33 lbs.)/burden/a load/responsibility
721	州	51533	83.3443649733	zhou1	(United States) state/province/sub-prefecture
722	静	51401	83.370928246	jing4	still/calm/quiet/not moving
723	退	51272	83.3974248535	tui4	retreat/to decline/to move back/to withdraw
724	既	51208	83.4238883866	ji4	already/since/both... (and...)
725	衣	51134	83.4503136777	yi1/yi4	clothes, gown/to dress/to wear
726	您	51094	83.4767182974	nin2	you (formal)
727	宗	50799	83.5029704655	zong1	school/sect/purpose/model/ancestor/family
728	积	50720	83.5291818075	ji1	to amass/to accumulate/to store/old/long-standing
729	余	50601	83.5553316521	yu2	extra/surplus/remaining/after/I/me
730	痛	50459	83.5814081132	tong4	ache/pain/sorrow
731	检	50413	83.6074608022	jian3	to check/to examine/to inspect
732	差	50349	83.6334804169	cha1/cha4/chai1/ci1	difference/discrepancy/to differ/error/to err/to make a mistake, differ from/short of/to lack/poor, send/a messenger/a mission/to commission, uneven
733	富	50273	83.659460756	fu4	rich
734	灵	50134	83.6853692619	ling2	alert/departed soul/efficacious/quick/effective/intelligence
735	协	50123	83.7112720832	xie2	cooperate/harmonize/to help/to assist/to join
736	角	50081	83.7371531996	jiao3/jue2	angle/horn/horn-shaped, Chinese musical note/angle/horn
737	占	49980	83.7629821206	zhan1/zhan4	to observe/to divine, to divine, to occupy/to constitute/to make up/to account
738	配	49900	83.7887696988	pei4	to join/to fit/to mate/to mix/to match/to deserve/to make up (a prescription)
739	征	49855	83.8145340217	zheng1	attack/levy (troops or taxes)/journey/trip/expedition
740	修	49829	83.8402849082	xiu1	to decorate/to embellish/to repair/to build/to study/to write/to cultivate
741	皮	49803	83.8660223583	pi2	leather/skin/fur
742	挥	49702	83.891707613	hui1	scatter/wield/wipe away
743	胜	49565	83.9173220682	sheng1/sheng4	(also sheng4) able to do/competent enough to, peptide, victorious
744	降	49306	83.9428026761	jiang4/xiang2	to drop/to fall/to come down/to descend, surrender
745	阶	49058	83.9681551212	jie1	rank or step/stairs
746	审	48862	83.9934062765	shen3	to examine/to investigate/carefully/to try (in court)
747	沉	48772	84.018610921	chen2	submerge/immerse/sink/deep/profound/to lower/to drop
748	坚	48749	84.0438036796	jian1	strong/solid/firm/unyielding/resolute
749	善	48739	84.0689912702	shan4	good
750	妈	48622	84.0941183971	ma1	ma/mamma
751	刘	48600	84.1192341546	liu2	(surname)/to kill
752	读	48304	84.1441969438	dou4/du2	comma/phrase marked by pause, to read/to study
753	啊	48244	84.1691287258	a1/a2/a3/a4/a	(interj.)/ah, an interjection/to express doubt or to question/to show realization/to stress, (interj. for surprise), oh (interjection), (a modal particle showing affirmation, approval, or consent)
754	超	48218	84.1940470714	chao1	to exceed/overtake/surpass/transcend/ultra-/super-/to pass/to cross
755	免	48044	84.2188754964	mian3	to exempt/to remove/to avoid/to excuse
756	压	48038	84.2437008207	ya1/ya4	to press/to push down/to keep under (control), in the first place/to crush
757	银	47955	84.2684832519	yin2	silver
758	买	47788	84.2931793799	mai3	buy
759	皇	47750	84.3178558701	huang2	(surname)/emperor
760	养	47702	84.3425075545	yang3	give birth/keep (pets)/to support/to bring sb. up/to raise (pig, etc.)
761	伊	47619	84.3671163459	yi1	he/she/(surname)/Iraq (abbrev.)
762	怀	47561	84.3916951637	huai2	to think of/to cherish/mind/heart/bosom
763	执	47543	84.4162646793	zhi2	execute (a plan)/grasp
764	副	47520	84.4408223089	fu4	secondary/auxiliary/deputy/assistant/vice-/(measure word for a pair)
765	乱	47474	84.4653561664	luan4	in confusion/disorderly
766	抗	47342	84.4898218082	kang4	to resist/to fight/to defy
767	犯	47098	84.5141613545	fan4	to violate/to offend
768	追	47079	84.5384910819	zhui1	pursue (a problem)/to chase
769	帮	47065	84.5628135742	bang1	to assist/to support/to help/group/gang/party
770	宣	47041	84.5871236638	xuan1	to declare (publicly)/to announce
771	佛	47038	84.6114322029	fo2/fu2	Buddha/Buddhism, seemingly
772	岁	46835	84.6356358347	sui4	year/years old/(a measure word)
773	航	46789	84.6598156944	hang2	boat/ship/vessel/craft/to navigate/to sail
774	优	46613	84.6839045999	you1	excellent/superior
775	怪	46600	84.7079867871	guai4	queer/to blame
776	香	46525	84.7320302155	xiang1	fragrant/incense/(of food) savory/appetizing/sweet/scented/popular
777	著	46239	84.7559258434	zhu4/zhe	
778	田	45886	84.779639046	tian2	(surname)/field/farm
779	铁	45798	84.8033067716	tie3	iron
780	控	45664	84.826905248	kong4	to accuse/to charge/to control/to sue
781	税	45615	84.850478402	shui4	taxes/duties
782	左	45568	84.874027267	zuo3	left
783	右	45561	84.8975725145	you4	right (-hand)
784	份	45408	84.9210386939	fen4	(a measure word for gifts, copies of a newspaper)/copy (of newspaper, magazine, etc.)/share/portion/part/(a measure word)
785	穿	45314	84.9444562955	chuan1	to bore through/pierce/perforate/penetrate/pass through/to dress/to wear/to put on/to thread
786	艺	45218	84.9678242857	yi4	skill/art
787	背	45181	84.9911731549	bei1/bei4	carry on one's back, to be burdened/to carry on the back or shoulder, learn by heart/the back of the body
788	阵	44899	85.0143762906	zhen4	disposition of troops/short period/wave/spate/burst/spell
789	草	44612	85.0374311091	cao3	grass/straw/draft (of a document)/careless/rough/manuscript/hasty
790	脚	44529	85.0604430343	jiao3/jue2	a kick/foot/role, role
791	概	44501	85.0834404896	gai4	general/approximate
792	恶	44493	85.1064338106	e3/e4/wu4	nauseated, evil, to hate/to loathe
793	块	44475	85.1294178295	kuai1/kuai4	piece/chunk/lump/(measure word for chunks, lumps), yuan (unit of currency)/fast (of a watch)/swift/rapid/happy/joyful/soon/quick/(a measure word, for cloth, cake, soap)
794	顿	44425	85.1523760091	dun4	a time/jerk/stop/meal/bout/spell/(measure for beating)
795	敢	44338	85.1752892284	gan3	dare
796	守	44264	85.1981642056	shou3	to guard
797	酒	44069	85.2209384097	jiu3	wine/liquor/spirits
798	岛	44056	85.2437058956	dao3	island
799	托	44052	85.2664713143	tuo1	to hold in one's hand/to entrust/to support in one's palm, entrust
800	央	44052	85.2892367331	yang1	beg/center
801	户	43810	85.3118770898	hu4	a household/door/family
802	烈	43751	85.3344869562	lie4	ardent/intense/split/crack/rend
803	洋	43692	85.3570663323	yang2	foreign/ocean
804	哥	43620	85.3796084999	ge1	elder brother
805	索	43365	85.4020188873	suo3	to search/to demand/to ask/to exact/large rope/isolated
806	胡	43199	85.4243434883	hu2	(surname)/beard/what why how, beard/mustache
807	款	43087	85.4466102094	kuan3	section/paragraph/funds
808	靠	42988	85.4688257688	kao4	depend upon/lean on/near/by/against/to support
809	评	42966	85.4910299589	ping2	to discuss/to comment/to criticize/to judge/to choose (by public appraisal)
810	版	42853	85.5131757522	ban3	a register/a block of printing/an edition/version/page
811	宝	42836	85.5353127603	bao3	a jewel or gem/a treasure/precious
812	座	42814	85.557438399	zuo4	seat/base/stand/measure word for large, solid things
813	释	42749	85.5795304468	shi4	explain/to release
814	景	42738	85.6016168098	jing3	bright/circumstance/scenery
815	顾	42735	85.6237016226	gu4	look after/take into consideration/to attend to
816	弟	42706	85.6457714485	di4	younger brother
817	登	42687	85.6678314556	deng1	scale/climb/ascend/mount/go up/register/note/to publish/to issue/to record
818	货	42602	85.6898475359	huo4	goods/money/commodity
819	互	42579	85.7118517301	hu4	mutual
820	付	42527	85.7338290515	fu4	pay
821	伯	42513	85.755799138	bo2	father's elder brother/senior/paternal elder uncle/eldest of brothers/respectful form of address
822	慢	42506	85.7777656069	man4	slow
823	欧	42504	85.7997310423	ou1	Europe
824	换	42292	85.8215869192	huan4	change/exchange
825	闻	42253	85.8434226415	wen2	(surname)/hear/sniff at
826	危	42080	85.86516896	wei1	danger/to endanger
827	忙	42026	85.886887372	mang2	busy
828	核	41944	85.9085634077	he2	nuclear/atomic/stone (of fruit)
829	暗	41881	85.9302068859	an4	dark/gloomy/hidden/secret, to shut the door/unilluminated
830	姐	41762	85.9517888667	jie3	older sister
831	介	41749	85.9733641293	jie4	introduce/lie between/between
832	坏	41723	85.9949259555	huai4	bad/spoiled, bad
833	讨	41717	86.016484681	tao3	ask for/send punitive expedition/to demand/to marry
834	丽	41363	86.0378604645	li2/li4	Korea, beautiful
835	良	41167	86.0591349581	liang2	good/very/very much
836	序	41129	86.0803898139	xu4	order/sequence/preface
837	升	41105	86.1016322669	sheng1	to raise/to hoist/to promote/pint, ascend/peaceful, promoted
838	监	41082	86.1228628338	jian1/jian4	hard/strong/solid/firm/to supervise/to inspect/jail/prison, supervisor
839	临	41068	86.1440861657	lin2	to face/to overlook/to arrive/to be (just) about to/just before
840	亮	41016	86.1652826248	liang4	light/bright
841	露	40954	86.1864470432	lu4/lou4	to show/to reveal/to expos/dew
842	永	40936	86.2076021595	yong3	forever/always/perpetual (ly)
843	呼	40709	86.2286399655	hu1	to call/to cry/to shout/to breath out/to exhale
844	味	40704	86.2496751876	wei4	taste
845	野	40681	86.2706985237	ye3	field/plain/open space/limit/boundary/rude/wild
846	架	40619	86.2916898191	jia4	to support/frame/rack/framework/measure word for planes, large vehicles, radios, etc.
847	域	40597	86.3126697452	yu4	field/region/area/domain (taxonomy)
848	沙	40573	86.3336372685	sha1	granule/hoarse/raspy/sand/powder
849	掉	40541	86.3545882546	diao4	to drop/to fall
850	括	40519	86.3755278715	kuo4	enclose/include
851	舰	40500	86.3964576694	jian4	warship
852	鱼	40452	86.4173626617	yu2	fish
853	杂	40265	86.4381710151	za2	mixed/miscellaneous/various/to mix
854	误	40196	86.4589437104	wu4	mistake/error/to miss/to harm/to delay/to neglect
855	湾	40101	86.4796673111	wan1	bay/gulf
856	吉	40081	86.5003805761	ji2	lucky
857	减	40011	86.5210576661	jian3	to lower/to decrease/to reduce/to subtract/to diminish
858	编	39879	86.5416665405	bian1	weave/plait/organize/group/arrange/edit/compile/write/compose/fabricate
859	楚	39846	86.562258361	chu3	(surname)/ancient place name/distinct/clear/orderly/pain/suffering/(a surname)
860	肯	39813	86.5828331275	ken3	to agree/to consent/to be ready (to do sth)/willing
861	测	39752	86.6033763702	ce4	side/to lean/to survey/to measure/conjecture
862	败	39627	86.6238550147	bai4	be defeated/to defeat/loss
863	屋	39588	86.6443135046	wu1	house/room
864	跑	39497	86.6647249671	pao3	to run/to escape
865	梦	39486	86.6851307449	meng4	to dream
866	散	39336	86.705459005	san3/san4	leisurely/loosen/powdered medicine/to scatter/to come loose, adjourn/scatter
867	温	39312	86.7257748622	wen1	(luke)warm/to review
868	困	39172	86.7460183695	kun3/kun4	a bunch/tie together, distress/sleepy/doze off, sleepy/doze off
869	剑	39020	86.7661833255	jian4	(double-edged) sword
870	渐	39010	86.7863431136	jian1/jian4	imbue, gradual/gradually
871	封	38954	86.8064739617	feng1	to confer/to grant/to seal/(a measure word)
872	救	38824	86.8265376278	jiu4	to save/to assist/to rescue
873	贵	38668	86.8465206753	gui4	expensive/noble/your (name)/precious
874	枪	38569	86.8664525612	qiang1	gun/firearm/rifle/spear, rifle/spear
875	缺	38506	86.8863518896	que1	lack/scarce/vacant post/to run short of
876	楼	38463	86.9062289962	lou2	house with more than 1 story/storied building/floor
877	县	38407	86.9260771629	xian4	a district/county
878	尚	38376	86.9459093092	shang4	still/yet/to value/to esteem
879	毫	38374	86.965740422	hao2	hair/drawing brush/(in the) least/one thousandth
880	移	38349	86.9855586151	yi2	to move/to shift/to change/to alter/to remove
881	娘	38274	87.0053380494	niang2	mother/young lady, mother/troubled
882	朋	38271	87.0251159333	peng2	friend
883	画	38263	87.0448896829	hua4	draw/picture/painting
884	班	38130	87.0645947	ban1	team/class/rank/squad/a work shift/a measure word/(a surname)
885	智	38064	87.0842656094	zhi4	wisdom/knowledge
886	亦	37960	87.1038827731	yi4	also
887	耳	37939	87.1234890843	er3	ear
888	恩	37898	87.1430742074	en1	kind act (from above)
889	短	37834	87.1626262562	duan3	lack/short
890	掌	37729	87.1821240425	zhang3	in charge of/palm of hand
891	恐	37676	87.2015944392	kong3	afraid/frightened/to fear
892	遗	37619	87.2210353792	yi2	to lose/to leave behind
893	固	37582	87.2404571982	gu4	hard/strong/solid/sure
894	席	37579	87.2598774667	xi2	banquet/woven mat/seat/place, woven mat
895	松	37563	87.2792894667	song1	loose/pine, loose
896	秘	37560	87.2986999164	mi4	secret
897	谢	37550	87.3181051982	xie4	(surname)/to thank
898	鲁	37474	87.3374712043	lu3	crass/place name
899	遇	37343	87.3567695116	yu4	meet with
900	康	37302	87.3760466307	kang1	peaceful/spongy (of radishes)
901	虑	37208	87.395275172	lu:4/lv4	anxiety
902	幸	37198	87.4144985455	xing4	lucky, fortunate/lucky
903	均	36842	87.4335379434	jun1	equal/even/all/uniform
904	销	36821	87.4525664888	xiao1	to melt/to do away with/to sell
905	钟	36770	87.4715686782	zhong1	clock/time as measured in hours and minutes/bell
906	诗	36762	87.4905667333	shi1	poem/poetry/verse
907	藏	36704	87.5095348149	cang2/zang4	to hide away/to conceal/to harbor/store/accumulate, storehouse/depository/Buddhist or Taoist scripture/Zang/Tibet
908	赶	36599	87.5284486341	gan3	to catch up/to overtake/to hurry/to rush/to drive away
909	剧	36585	87.5473552182	ju4	drama/play/show/severe
910	票	36459	87.5661966875	piao4	bank note/ticket
911	损	36444	87.5850304049	sun3	to damage/injure/to lose/to harm
912	忽	36378	87.6038300145	hu1	suddenly
913	巨	36351	87.622615671	ju4	very large/huge/tremendous/gigantic
914	炮	36315	87.6413827231	pao4	cannon/gun/firecracker, gun/cannon
915	旧	36291	87.6601373724	jiu4	old (opposite of new)/former
916	端	36233	87.6788620482	duan1	end/extremity/item/port/to hold sth. level with both hands/to carry/regular
917	探	36230	87.6975851737	tan4	to explore/to search out/to scout/to visit
918	湖	36112	87.7162473184	hu2	lake
919	录	36080	87.7348929261	lu4	to record/to hit/to copy
920	叶	36032	87.7535137281	ye4	(surname)/leaf/page
921	春	36027	87.7721319461	chun1	spring (time)/gay/joyful/youthful/love/lust/life
922	乡	36025	87.7907491306	xiang1	country/village
923	附	35955	87.8093301401	fu4	to add/to attach/to be close to/to be attached
924	吸	35891	87.8278780754	xi1	to breathe/to suck in/to absorb/to inhale
925	予	35757	87.8463567614	yu2/yu3	I, to give
926	礼	35612	87.8647605137	li3	gift/propriety/rite
927	港	35577	87.8831461784	gang3	harbor/Hong Kong (abbr.)
928	雨	35370	87.9014248686	yu3	rain
929	呀	35343	87.9196896056	ya/ya1	(final part.)
930	板	35332	87.937948658	ban3	board/plank/plate/slab, boss
931	庭	35205	87.9561420787	ting2	court/courtyard
932	妇	35188	87.974326714	fu4	woman
933	归	35153	87.9924932618	gui1	to go back/to return
934	睛	35082	88.0106231179	jing1	eye
935	饭	35076	88.0287498733	fan4	food/cuisine/cooked rice/meal
936	额	34823	88.046745882	e2	volume/amount/quantity/forehead/quota
937	含	34759	88.0647088165	han2	to keep/to contain
938	顺	34708	88.082645395	shun4	to obey/to follow/to arrange/to make reasonable/along/favorable
939	输	34688	88.1005716377	shu1	to transport/to lose
940	摇	34635	88.1184704909	yao2	shake/to rock
941	招	34625	88.1363641762	zhao1	provoke/to recruit
942	婚	34610	88.1542501097	hun1	to marry/marriage/wedding/to take a wife
943	脱	34548	88.1721040025	tuo1	to shed/to take off/to escape/to get away from
944	补	34542	88.1899547946	bu3	to repair/to patch/to mend/to make up for/to fill (a vacancy)/to supplement
945	谓	34527	88.207797835	wei4	speak of
946	督	34523	88.2256388082	du1	supervise
947	毒	34517	88.2434766807	du2	poison/narcotics
948	油	34469	88.2612897475	you2	oil/sly
949	疗	34467	88.2791017807	liao2	to treat/to cure
950	旅	34384	88.2968709208	lu:3/lv3	trip/travel
951	泽	34311	88.3146023355	ze2	beneficence/marsh
952	材	34237	88.3322955082	cai2	material
953	灭	34135	88.3499359688	mie4	extinguish
954	逐	34128	88.3675728118	zhu2	to pursue/to chase/individually/one by one
955	莫	34097	88.3851936346	mo4	do not/there is none who
956	笔	34057	88.4027937859	bi3	pen/pencil/writing brush/to write or compose/the strokes of Chinese characters
957	亡	33917	88.4203215873	wang2	to die/to perish
958	鲜	33720	88.4377475821	xian1/xian3	fresh, few/rare
