radical_no,trad,variants,simp,pinyin,eng,strokes
1,一, , ,yi1,one,1
2,丨, , ,gun3,line,1
3,丶, , ,zhu3,dot,1
4,丿,乀 (fu2) ; 乁(yi2), ,pie3,slash,1
5,乙,乚 (yin3);乛, ,yi4,second,1
6,亅, , ,jue2,hook,1
7,二, , ,er4,two,2
8,亠, , ,tou2,lid,2
9,人,亻, ,ren2,man,2
10,儿, , ,er2,legs,2
11,入, , ,ru4,enter,2
12,八,丷, ,ba1,eight,2
